"TrialID","Tag.ID","Unbaited_visits_dur","Unbaited_visits_n","Baited_visits_dur","Baited_visits_n","Search_finds_visits_dur","Search_finds_visits_n","SF_visits_dur","SF_visits_n","Revisit_prod_dur","Revisits_prod_n","Join_visits_dur","Join_visits_n","Join_visits_NL_dur","Join_visits_NL_n","Join_FS_visits_dur","Join_FS_visits_n","Join_FL_visits_dur","Join_FL_visits_n","Join_BS_visits_dur","Join_BS_visits_n","Join_BL_visits_dur","Join_BL_visits_n","Join_latent_visits_dur","Join_latent_visits_n","Baited_visits_n2","Baited_visits_duration2","Join_visits_n2","Join_visits_duration2","Join_revisits_n2","Join_revisits_duration2","SF_visits_n2","SF_visits_duration2","Prim_prd_visits_n","Prim_prd_visits_duration","Secondary_visits_n","Secondary_visits_duration","Dir_scr_visits_n","Dir_scr_visits_duration","Vac_scr_visits_n","Vac_scr_visits_duration","Prim_prd_revisits_n","Prim_prd_revisits_duration","Dir_scr_revisits_n","Dir_scr_revisits_duration","Vac_scr_revisits_n","Vac_scr_revisits_duration","Time_spent_baited_wells","Total_feeds_RFID","Producing_feeds_RFID","Scrounging_feeds_RFID","SF_feeds_RFID","Producing_feeds_RFID2","Scrounging_feeds_RFID2","SF_feeds_RFID2","Activity_visits","Activity_distance","Board_time","Exploration1","Exploration2","Latency","Arrival_order","Trial_indiv_index","Avg_dist_1.2","Avg_dist_1.3","Avg_dist_2.3"
"G1_1","000724EF35",7.85900000000038,3,18.2749999999978,2,18.2749999999978,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.2749999999978,0,0,0,0,0,0,1,12.3410000000003,1,5.93399999999747,0,0,0,0,0,0,0,0,0,0,18.7169999999969,4,3,0,0,3,0,0,10,180.490580140587,60.6910000000025,5,3,440.450000000001,1,"1",9.43302920369814,NA,NA
"G1_1","000726E250",0,0,0,0,0,0,0,0,0,0,27.875,1,27.875,1,0,0,0,0,27.875,1,0,0,0,0,0,0,1,27.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,5,0,0,5,0,3,37,51.0260000000017,2,2,452.901999999998,2,"2",9.43302920369814,NA,NA
"G1_2","000724B642",6.10599999999613,2,0,0,0,0,0,0,12.0509999999995,1,0,0,15.8709999999992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,210.484000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.867000000002,49,2,0,0,0,0,45,19,384.671085310086,336.959999999995,6,6,79.9890000000014,5,"1",27.2953683549281,51.7286980569326,74.316014632669
"G1_2","000724D4F3",2.33700000000317,1,0,0,0,0,0,0,0,0,0,0,75.3590000000004,1,75.3590000000004,1,0,0,0,0,0,0,37.5040000000008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.370999999999,29,0,0,0,0,0,0,13,245.144404135598,284.073,3,3,63.3950000000004,3,"2",27.2953683549281,59.7253493904123,63.0097455458942
"G1_2","000724DF2A",5.69499999999971,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,324.292000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.295000000002,80,0,0,0,0,0,69,45,991.511590193726,499.466000000004,14,13,68.0479999999989,4,"3",29.5276198639295,51.7286980569326,63.0097455458942
"G1_2","000724EF35",7.44799999999668,4,102.203999999998,3,0,0,102.203999999998,3,0,0,99.4940000000024,3,99.4940000000024,3,0,0,9.4330000000009,4,7.45200000000114,1,0,0,0,0,3,102.203999999998,3,99.4940000000024,1,90.9699999999975,3,102.203999999998,0,0,3,102.203999999998,0,0,1,90.9699999999975,0,0,0,0,3,97.8230000000003,209.700999999997,45,21,21,21,21,40,21,31,912.748169867405,246.615999999998,9,4,62.4110000000001,2,NA,NA,NA,NA
"G1_2","000724FD1B",5.21500000000015,2,236.941000000006,7,55.1929999999993,2,181.748000000007,5,334.157999999999,2,5.20400000000154,1,5.20400000000154,1,5.20400000000154,1,1.21199999999953,1,0,0,0,0,0,0,7,236.941000000006,1,5.20400000000154,0,0,5,181.748000000007,2,55.1929999999993,5,181.748000000007,0,0,0,0,8,521.110000000008,0,0,0,0,580.251000000007,124,122,1,39,50,1,39,42,887.319331443239,673.178,8,7,56.3339999999989,1,NA,NA,NA,NA
"G1_2","000726E250",2.23600000000079,1,150.161000000004,2,10.0040000000008,1,140.157000000003,1,0,0,3.23800000000119,1,3.23800000000119,1,0,0,0.993000000002212,1,0,0,0,0,0,0,2,150.161000000004,1,3.23800000000119,0,0,1,140.157000000003,2,150.161000000004,0,0,0,0,0,0,1,11.4479999999967,0,0,0,0,168.957000000006,36,32,0,30,32,0,30,14,707.370758354312,183.497000000007,5,3,180.454000000002,6,NA,NA,NA,NA
"G10_1","000724C16B",3.07399999999325,2,57.6519999999946,2,23.3559999999998,1,34.2959999999948,1,0,0,106.139999999999,2,81.4619999999995,1,81.4619999999995,1,0,0,0,0,0,0,24.6779999999999,1,2,57.6519999999946,2,106.139999999999,0,0,1,34.2959999999948,1,23.3559999999998,1,34.2959999999948,0,0,1,34.2959999999948,0,0,0,0,1,81.4619999999995,165.223999999995,35,12,22,7,12,22,7,9,175.436756145576,172.623999999989,4,3,49.364999999998,3,"1",40.5839195952759,64.0205952319832,41.3018652799098
"G10_1","000724C37F",5.28900000000431,3,170.485000000001,6,0,0,170.485000000001,6,7.56199999999808,1,38.3640000000014,2,0,0,0,0,0,0,0,0,0,0,38.3640000000014,2,6,170.485000000001,2,38.3640000000014,1,24.0950000000012,6,170.485000000001,1,50.2229999999981,5,120.262000000002,0,0,2,54.7019999999975,1,29.7419999999984,0,0,5,81.7440000000061,220.498999999996,47,38,8,36,36,13,36,21,533.539388125927,229.934000000008,5,3,60.3839999999982,6,"2",40.5839195952759,67.6197866354561,50.3213155412819
